phrase;replacements;message;url
"too numerous to mention";"";"Don't use this word";
"torn";"";"Don't use this word";
"tort feasor";"tortfeasor";"Use this form, it's better. Trust me.";
"tort-feasor";"tortfeasor";"Use this form, it's better. Trust me.";
"total destruction";"destruction";"At least you should use the proper form.";
"totally destroy";"destroy";"At least you should use the proper form.";
"totally obsolescent";"";"No. Just no. Don't say this";
"touch base";"connect";"Don't use this word";
"touch with a ten foot pole";"";"Don't use this word";
"touche";"touché";"It's French";
"touched";"";"Filler Word Detected";
"tough as nails";"";"Don't use this word";
"toung thruster";"";"Are you kidding! Why would you type this!";
"tounge baller";"";"Are you kidding! Why would you type this!";
"tounge thrust";"";"Are you kidding! Why would you type this!";
"tourettes disorder";"Tourette syndrome";"Use this form, it's better. Trust me.";
"tourettes syndrome";"Tourette syndrome";"Use this form, it's better. Trust me.";
"towel heads";"Arabs","Middle Eastern People";"Whenever possible, try to be gender inclusive.";
"tractible";"tractable";"This is the correct spelling";
"tradesmans entrance";"service entrance";"Use this form, it's better. Trust me.";
"tragic";"sorrowful";"Emotional Word Detected";
"trailer trash";"";"Are you kidding! Why would you type this!";
"trailertrash";"";"Are you kidding! Why would you type this!";
"tramp";"";"Are you kidding! Why would you type this!";
"tranny";"transgender";"Avoid using outdated / offensive terms";
"trans-ship";"transship";"Use this form, it's better. Trust me.";
"trans-shipped";"transshipped";"Use this form, it's better. Trust me.";
"trans-shipping";"transshipping";"Use this form, it's better. Trust me.";
"transferible";"transferable";"This is the correct spelling";
"transfusable";"transfusible";"This is the correct spelling";
"transgendered";"transgender";"This is a term used by anti-transgender activists to dehumanize transgender people and reduce who they are to a condition";
"transgenderism";"being transgender","the movement for transgender equality";"Assigned birth gender is complicated, gender identity is more than what your parents decided you were at birth";
"transgenders";"transgender people";"Transgender is already an adjective";
"tranship";"transship";"Use this form, it's better. Trust me.";
"transhipped";"transshipped";"Use this form, it's better. Trust me.";
"transhipping";"transshipping";"Use this form, it's better. Trust me.";
"transiency";"transience";"At least you should use the proper form.";
"transmissable";"transmissible";"This is the correct spelling";
"transmittible";"transmittable";"This is the correct spelling";
"transparency";"openness";"Emotional Word Detected";
"transposal";"transposition";"At least you should use the proper form.";
"transvestite";"cross-dresser";"Avoid overemphasizing surgery when discussing transgender people or the process of transition - it’s not a necessary component";
"trapped";"confined";"Emotional Word Detected";
"tremendous";"immense";"Emotional Word Detected";
"tri sexual";"";"Are you kidding! Why would you type this!";
"trial and error";"";"Don't use this word";
"trials and tribulations";"";"Don't use this word";
"tribal knowledge";"institutional knowledge";"Unconcious Bias Detected";
"tribe";"society","community";"Avoid using terms that make some groups sound inferior. Replace “sophisticated” with a neutral term such as “complex”";
"tribesman";"tribe member";"Use this form, it's better. Trust me.";
"tribesperson";"tribe member";"This is the correct spelling";
"tribeswoman";"tribe member";"Use this form, it's better. Trust me.";
"tried and true";"";"Don't use this word";
"tries";"attempts";"Indirect Word Detected";
"trigger";"initiate";"Unconcious Bias Detected";
"triggered";"initiated";"Unconcious Bias Detected";
"triggering";"invoking";"Unconcious Bias Detected";
"trip down memory lane";"";"Don't use this word";
"triple x";"";"Are you kidding! Why would you type this!";
"triplex";"";"Are you kidding! Why would you type this!";
"trisexual";"";"Are you kidding! Why would you type this!";
"trodden";"";"Don't use this word";
"trojan";"";"Are you kidding! Why would you type this!";
"trots";"";"Are you kidding! Why would you type this!";
"true facts";"facts";"Use this form, it's better. Trust me.";
"true";"factual","legitimate";"Emotional Word Detected";
"truly sincere";"sincere";"At least you should use the proper form.";
"truly";"genuinely";"Emotional Word Detected";
"trust";"confidence";"Emotional Word Detected";
"trustworthy";"dependable";"Emotional Word Detected";
"truth";"reality";"Emotional Word Detected";
"truthful";"honest";"Emotional Word Detected";
"try";"attempt";"Indirect Word Detected";
"tuesday";"Tuesday";"At least you should use the proper form.";
"tunnel of love";"";"Are you kidding! Why would you type this!";
"tunneloflove";"";"Are you kidding! Why would you type this!";
"turd";"";"Are you kidding! Why would you type this!";
"twat";"";"Are you kidding! Why would you type this!";
"twelve midnight";"midnight";"At least you should use the proper form.";
"twelve noon";"noon";"Use this form, it's better. Trust me.";
"twist of fate";"";"Don't use this word";
"two bit whore";"";"Are you kidding! Why would you type this!";
"two cents worth";"";"Don't use this word";
"two equal halves";"halves";"At least you should use the proper form.";
"two on one";"";"Are you kidding! Why would you type this!";
"two peas in a pod";"";"Don't use this word";
"twobitwhore";"";"Are you kidding! Why would you type this!";
"tympani";"timpani";"This is the correct spelling";
"ugly as sin";"";"Don't use this word";
"ult\.";"";"Are you kidding! Why would you type this!";
"ultimate goal";"goal";"At least you should use the proper form.";
"umteenth";"umpteenth";"This is the correct spelling";
"unadvisable";"inadvisable";"This is the correct spelling";
"unalienable";"inalienable";"This is the correct spelling";
"unanimous";"";"Don't use this word";
"unassuming";"modest";"Emotional Word Detected";
"unavoidable";"";"Don't use this word";
"unbroken";"";"Don't use this word";
"unburdened";"reassured";"Emotional Word Detected";
"uncaring";"indifferent";"Emotional Word Detected";
"uncategorically";"categorically";"At least you should use the proper form.";
"uncertain";"hesitant";"Emotional Word Detected";
"uncle";"relative";"Using gender neutral language means users will help to break up gender stereotypes";
"uncollectable";"uncollectible";"This is the correct spelling";
"uncomfortable";"uneasy";"Emotional Word Detected";
"unconfirmed rumor";"rumor";"At least you should use the proper form.";
"undeniable truth";"undeniable";"At least you should use the proper form.";
"under the counter";"";"Don't use this word";
"under the gun";"";"Don't use this word";
"under the same roof";"";"Don't use this word";
"under the weather";"";"Don't use this word";
"undergraduate student";"undergraduate";"At least you should use the proper form.";
"underground subway";"subway";"At least you should use the proper form.";
"understood";"";"Filler Word Detected";
"undoubtably";"undoubtedly' or 'indubitably";"At least you should use the proper form.";
"unequivocable";"unequivocal";"At least you should use the proper form.";
"unexpected emergency";"emergency";"Use this form, it's better. Trust me.";
"unexpected surprise";"surprise";"At least you should use the proper form.";
"unexpressive";"inexpressive";"This is the correct spelling";
"unfeasible";"infeasible";"This is the correct spelling";
"unfilled vacancy";"vacancy";"At least you should use the proper form.";
"unfortunately";"regrettably";"Emotional Word Detected";
"unfortunatly";"unfortunately";"This is the correct spelling";
"unfrequent";"infrequent";"At least you should use the proper form.";
"unfuckable";"";"Are you kidding! Why would you type this!";
"uniform";"";"Don't use this word";
"unintentional mistake";"unintentional";"At least you should use the proper form.";
"uninterested";"indifferent";"Emotional Word Detected";
"unique";"distinctive";"Emotional Word Detected";
"universal panacea";"panacea";"At least you should use the proper form.";
"universal";"";"Don't use this word";
"unjustified";"unwarranted";"Emotional Word Detected";
"unmanly";"inhumane";"Using gender neutral language means users will help to break up gender stereotypes";
"unmanned";"robotic","automated";"Don't use this word";
"unmenly";"inhumane";"Using gender neutral language means users will help to break up gender stereotypes";
